algorithm,size,scenario,iteration,time_ms
quick_med3,10000,sorted_25,36,0.5284
quick_med3,10000,sorted_25,37,0.523
quick_med3,10000,sorted_25,38,0.7707
quick_med3,10000,sorted_25,39,0.5371
quick_med3,10000,sorted_25,40,0.5303
quick_med3,10000,sorted_25,41,0.5499
quick_med3,10000,sorted_25,42,0.5246
quick_med3,10000,sorted_25,43,0.5265
quick_med3,10000,sorted_25,44,0.5267
quick_med3,10000,sorted_25,45,0.5398
quick_med3,10000,sorted_25,46,0.6911
quick_med3,10000,sorted_25,47,0.7791
quick_med3,10000,sorted_25,48,0.6043
quick_med3,10000,sorted_25,49,0.5373
quick_med3,10000,sorted_25,50,0.5275
quick_med3,10000,sorted_25,51,0.5309
quick_med3,10000,sorted_25,52,0.5235
quick_med3,10000,sorted_25,53,0.5293
quick_med3,10000,sorted_25,54,0.5315
quick_med3,10000,sorted_25,55,0.5362
quick_med3,10000,sorted_25,56,0.5283
quick_med3,10000,sorted_25,57,0.8121
quick_med3,10000,sorted_25,58,0.5282
quick_med3,10000,sorted_25,59,0.5263
quick_med3,10000,sorted_25,60,0.533
quick_med3,10000,sorted_25,61,0.5318
quick_med3,10000,sorted_25,62,0.5336
quick_med3,10000,sorted_25,63,0.5246
quick_med3,10000,sorted_25,64,0.5534
quick_med3,10000,sorted_25,65,0.5548
quick_med3,10000,sorted_25,66,0.5343
quick_med3,10000,sorted_25,67,0.9219
quick_med3,10000,sorted_25,68,0.5764
quick_med3,10000,sorted_25,69,0.5784
quick_med3,10000,sorted_25,70,0.5344
quick_med3,10000,sorted_25,71,0.979
quick_med3,10000,sorted_25,72,0.6328
quick_med3,10000,sorted_25,73,0.5266
quick_med3,10000,sorted_25,74,0.5257
quick_med3,10000,sorted_25,75,0.8792
quick_med3,10000,sorted_25,76,0.5505
quick_med3,10000,sorted_25,77,0.5395
quick_med3,10000,sorted_25,78,0.5467
quick_med3,10000,sorted_25,79,0.5261
quick_med3,10000,sorted_25,80,0.5402
quick_med3,10000,sorted_25,81,0.5335
quick_med3,10000,sorted_25,82,0.5279
quick_med3,10000,sorted_25,83,0.5132
quick_med3,10000,sorted_25,84,0.7246
quick_med3,10000,sorted_25,85,0.6096
quick_med3,10000,sorted_25,86,0.5307
quick_med3,10000,sorted_25,87,0.5373
quick_med3,10000,sorted_25,88,0.5388
quick_med3,10000,sorted_25,89,0.5198
quick_med3,10000,sorted_25,90,0.5331
quick_med3,10000,sorted_25,91,0.5265
quick_med3,10000,sorted_25,92,0.5604
quick_med3,10000,sorted_25,93,0.5246
quick_med3,10000,sorted_25,94,0.7211
quick_med3,10000,sorted_25,95,0.5307
quick_med3,10000,sorted_25,96,0.5311
quick_med3,10000,sorted_25,97,0.5383
quick_med3,10000,sorted_25,98,0.5399
quick_med3,10000,sorted_25,99,0.522
intro,10000,sorted_25,0,0.5021
intro,10000,sorted_25,1,0.4589
intro,10000,sorted_25,2,0.5893
intro,10000,sorted_25,3,0.7463
intro,10000,sorted_25,4,0.4483
intro,10000,sorted_25,5,0.4523
intro,10000,sorted_25,6,0.4499
intro,10000,sorted_25,7,0.4612
intro,10000,sorted_25,8,0.4529
intro,10000,sorted_25,9,0.4502
intro,10000,sorted_25,10,0.4581
intro,10000,sorted_25,11,0.4782
intro,10000,sorted_25,12,0.4419
intro,10000,sorted_25,13,0.4525
intro,10000,sorted_25,14,0.6634
intro,10000,sorted_25,15,0.4801
intro,10000,sorted_25,16,0.4594
intro,10000,sorted_25,17,0.4575
intro,10000,sorted_25,18,0.448
intro,10000,sorted_25,19,0.4576
intro,10000,sorted_25,20,0.4534
intro,10000,sorted_25,21,0.4505
intro,10000,sorted_25,22,0.4557
intro,10000,sorted_25,23,0.4784
intro,10000,sorted_25,24,0.447
intro,10000,sorted_25,25,0.4657
intro,10000,sorted_25,26,0.5733
intro,10000,sorted_25,27,0.453
intro,10000,sorted_25,28,0.4695
intro,10000,sorted_25,29,0.483
intro,10000,sorted_25,30,0.4534
intro,10000,sorted_25,31,0.4547
intro,10000,sorted_25,32,0.4496
intro,10000,sorted_25,33,0.4614
intro,10000,sorted_25,34,0.5167
intro,10000,sorted_25,35,0.4752
intro,10000,sorted_25,36,0.4571
intro,10000,sorted_25,37,0.6921
intro,10000,sorted_25,38,0.4523
intro,10000,sorted_25,39,0.462
intro,10000,sorted_25,40,0.4531
intro,10000,sorted_25,41,0.475
intro,10000,sorted_25,42,0.451
intro,10000,sorted_25,43,0.4512
intro,10000,sorted_25,44,0.4509
intro,10000,sorted_25,45,0.4599
intro,10000,sorted_25,46,0.4438
intro,10000,sorted_25,47,0.4956
intro,10000,sorted_25,48,0.6505
intro,10000,sorted_25,49,0.4833
intro,10000,sorted_25,50,0.4544
intro,10000,sorted_25,51,0.4537
intro,10000,sorted_25,52,0.4515
intro,10000,sorted_25,53,0.4549
intro,10000,sorted_25,54,0.4559
intro,10000,sorted_25,55,0.446
intro,10000,sorted_25,56,0.4616
intro,10000,sorted_25,57,0.4828
intro,10000,sorted_25,58,0.4481
intro,10000,sorted_25,59,0.6257
intro,10000,sorted_25,60,0.5002
intro,10000,sorted_25,61,0.4625
intro,10000,sorted_25,62,0.4532
intro,10000,sorted_25,63,0.4539
intro,10000,sorted_25,64,0.4441
intro,10000,sorted_25,65,0.4808
intro,10000,sorted_25,66,0.4577
intro,10000,sorted_25,67,0.4422
intro,10000,sorted_25,68,0.4577
intro,10000,sorted_25,69,0.4441
intro,10000,sorted_25,70,0.481
intro,10000,sorted_25,71,0.6813
intro,10000,sorted_25,72,0.4574
intro,10000,sorted_25,73,0.4504
intro,10000,sorted_25,74,0.4451
intro,10000,sorted_25,75,0.4541
intro,10000,sorted_25,76,0.4648
intro,10000,sorted_25,77,0.4666
intro,10000,sorted_25,78,0.4666
intro,10000,sorted_25,79,0.4677
intro,10000,sorted_25,80,0.4733
intro,10000,sorted_25,81,0.4607
intro,10000,sorted_25,82,0.7768
intro,10000,sorted_25,83,0.4393
intro,10000,sorted_25,84,0.4561
intro,10000,sorted_25,85,0.4585
intro,10000,sorted_25,86,0.4547
intro,10000,sorted_25,87,0.4613
intro,10000,sorted_25,88,0.4763
intro,10000,sorted_25,89,0.4436
intro,10000,sorted_25,90,0.4545
intro,10000,sorted_25,91,0.4792
intro,10000,sorted_25,92,0.4561
intro,10000,sorted_25,93,0.6403
intro,10000,sorted_25,94,0.5129
intro,10000,sorted_25,95,0.4581
intro,10000,sorted_25,96,0.445
intro,10000,sorted_25,97,0.4614
intro,10000,sorted_25,98,0.4475
intro,10000,sorted_25,99,0.4418
merge,10000,sorted_50,0,0.4436
merge,10000,sorted_50,1,0.4268
merge,10000,sorted_50,2,0.4229
merge,10000,sorted_50,3,0.4258
merge,10000,sorted_50,4,0.4204
merge,10000,sorted_50,5,0.4242
merge,10000,sorted_50,6,0.4222
merge,10000,sorted_50,7,0.4202
merge,10000,sorted_50,8,0.4477
merge,10000,sorted_50,9,0.4188
merge,10000,sorted_50,10,0.4217
merge,10000,sorted_50,11,0.8026
merge,10000,sorted_50,12,0.5824
merge,10000,sorted_50,13,0.6238
merge,10000,sorted_50,14,0.4357
merge,10000,sorted_50,15,0.4224
merge,10000,sorted_50,16,0.4406
merge,10000,sorted_50,17,0.421
merge,10000,sorted_50,18,0.4257
merge,10000,sorted_50,19,0.4203
merge,10000,sorted_50,20,0.4223
merge,10000,sorted_50,21,1.2827
merge,10000,sorted_50,22,0.4307
merge,10000,sorted_50,23,0.4588
merge,10000,sorted_50,24,0.4246
merge,10000,sorted_50,25,0.4196
merge,10000,sorted_50,26,0.4209
merge,10000,sorted_50,27,0.4242
merge,10000,sorted_50,28,0.4222
merge,10000,sorted_50,29,0.4511
merge,10000,sorted_50,30,0.4199
merge,10000,sorted_50,31,0.4224
merge,10000,sorted_50,32,0.7531
merge,10000,sorted_50,33,0.4829
merge,10000,sorted_50,34,0.421
merge,10000,sorted_50,35,0.4244
merge,10000,sorted_50,36,0.4193
merge,10000,sorted_50,37,0.4228
merge,10000,sorted_50,38,0.421
merge,10000,sorted_50,39,0.4194
merge,10000,sorted_50,40,0.4521
merge,10000,sorted_50,41,0.4188
merge,10000,sorted_50,42,0.5482
merge,10000,sorted_50,43,0.425
merge,10000,sorted_50,44,0.7448
merge,10000,sorted_50,45,0.4386
merge,10000,sorted_50,46,0.4299
merge,10000,sorted_50,47,0.4213
merge,10000,sorted_50,48,0.44
merge,10000,sorted_50,49,0.4202
merge,10000,sorted_50,50,0.4253
merge,10000,sorted_50,51,0.4216
merge,10000,sorted_50,52,0.4213
merge,10000,sorted_50,53,0.5009
merge,10000,sorted_50,54,0.425
merge,10000,sorted_50,55,0.7726
merge,10000,sorted_50,56,0.5403
merge,10000,sorted_50,57,0.4261
merge,10000,sorted_50,58,0.4188
merge,10000,sorted_50,59,0.4208
merge,10000,sorted_50,60,0.4265
merge,10000,sorted_50,61,0.4207
merge,10000,sorted_50,62,0.4243
merge,10000,sorted_50,63,0.4203
merge,10000,sorted_50,64,0.4397
merge,10000,sorted_50,65,0.42
merge,10000,sorted_50,66,0.4195
merge,10000,sorted_50,67,0.5547
merge,10000,sorted_50,68,0.5203
merge,10000,sorted_50,69,0.4245
merge,10000,sorted_50,70,0.4212
merge,10000,sorted_50,71,0.4209
merge,10000,sorted_50,72,0.4274
merge,10000,sorted_50,73,0.4206
merge,10000,sorted_50,74,0.4232
merge,10000,sorted_50,75,0.4205
merge,10000,sorted_50,76,0.423
merge,10000,sorted_50,77,0.4505
merge,10000,sorted_50,78,0.4194
merge,10000,sorted_50,79,0.7185
merge,10000,sorted_50,80,0.5977
merge,10000,sorted_50,81,0.5548
merge,10000,sorted_50,82,0.6204
merge,10000,sorted_50,83,0.5843
merge,10000,sorted_50,84,0.4589
merge,10000,sorted_50,85,0.4218
merge,10000,sorted_50,86,0.4197
merge,10000,sorted_50,87,0.4241
merge,10000,sorted_50,88,0.4199
merge,10000,sorted_50,89,0.457
merge,10000,sorted_50,90,0.6622
merge,10000,sorted_50,91,0.4556
merge,10000,sorted_50,92,0.4269
merge,10000,sorted_50,93,0.4218
merge,10000,sorted_50,94,0.4228
merge,10000,sorted_50,95,0.4212
merge,10000,sorted_50,96,0.4198
merge,10000,sorted_50,97,0.4238
merge,10000,sorted_50,98,0.4195
merge,10000,sorted_50,99,0.4499
quick_med3,10000,sorted_50,0,0.7261
quick_med3,10000,sorted_50,1,0.5206
quick_med3,10000,sorted_50,2,0.48
quick_med3,10000,sorted_50,3,0.483
quick_med3,10000,sorted_50,4,0.4964
quick_med3,10000,sorted_50,5,0.4739
quick_med3,10000,sorted_50,6,0.4693
quick_med3,10000,sorted_50,7,0.4754
quick_med3,10000,sorted_50,8,0.6196
quick_med3,10000,sorted_50,9,0.7164
quick_med3,10000,sorted_50,10,0.8453
quick_med3,10000,sorted_50,11,0.7498
quick_med3,10000,sorted_50,12,0.5792
quick_med3,10000,sorted_50,13,0.5336
quick_med3,10000,sorted_50,14,0.494
quick_med3,10000,sorted_50,15,0.481
quick_med3,10000,sorted_50,16,0.5867
quick_med3,10000,sorted_50,17,0.4812
quick_med3,10000,sorted_50,18,0.4814
quick_med3,10000,sorted_50,19,0.469
quick_med3,10000,sorted_50,20,0.9093
quick_med3,10000,sorted_50,21,0.4816
quick_med3,10000,sorted_50,22,0.4801
quick_med3,10000,sorted_50,23,0.4792
quick_med3,10000,sorted_50,24,0.4764
quick_med3,10000,sorted_50,25,0.4826
quick_med3,10000,sorted_50,26,0.4742
quick_med3,10000,sorted_50,27,0.4851
quick_med3,10000,sorted_50,28,0.4763
quick_med3,10000,sorted_50,29,0.4787
quick_med3,10000,sorted_50,30,0.7691
quick_med3,10000,sorted_50,31,0.5383
quick_med3,10000,sorted_50,32,0.4829
quick_med3,10000,sorted_50,33,0.4824
quick_med3,10000,sorted_50,34,0.4838
quick_med3,10000,sorted_50,35,0.4818
quick_med3,10000,sorted_50,36,0.4746
quick_med3,10000,sorted_50,37,0.4825
quick_med3,10000,sorted_50,38,0.5034
quick_med3,10000,sorted_50,39,0.5059
quick_med3,10000,sorted_50,40,0.7173
quick_med3,10000,sorted_50,41,0.5403
quick_med3,10000,sorted_50,42,0.4827
quick_med3,10000,sorted_50,43,0.4738
quick_med3,10000,sorted_50,44,0.4798
quick_med3,10000,sorted_50,45,0.4783
quick_med3,10000,sorted_50,46,0.468
quick_med3,10000,sorted_50,47,0.4694
quick_med3,10000,sorted_50,48,0.4758
quick_med3,10000,sorted_50,49,0.477
quick_med3,10000,sorted_50,50,0.479
quick_med3,10000,sorted_50,51,0.6184
quick_med3,10000,sorted_50,52,0.5908
quick_med3,10000,sorted_50,53,0.4737
quick_med3,10000,sorted_50,54,0.4875
quick_med3,10000,sorted_50,55,0.4643
quick_med3,10000,sorted_50,56,0.4934
quick_med3,10000,sorted_50,57,0.4769
quick_med3,10000,sorted_50,58,0.4753
